code,single,multi_1,multi_2
'0TUC77Z','106','10','10.5'
'0TUC7JZ','106','10','10.5'
'0TUC7KZ','106','10','10.5'
'0TUC87Z','106','10','10.5'
'0TUC8JZ','106','10','10.5'
'0TUC8KZ','106','10','10.5'
'0TF30ZZ','107','10','10.6'
'0TF33ZZ','107','10','10.6'
'0TF34ZZ','107','10','10.6'
'0TF37ZZ','107','10','10.6'
'0TF38ZZ','107','10','10.6'
'0TF3XZZ','107','10','10.6'
'0TF40ZZ','107','10','10.6'
'0TF43ZZ','107','10','10.6'
'0TF44ZZ','107','10','10.6'
'0TF47ZZ','107','10','10.6'
'0TF48ZZ','107','10','10.6'
'0TF4XZZ','107','10','10.6'
'0TF60ZZ','107','10','10.6'
'0TF63ZZ','107','10','10.6'
'0TF64ZZ','107','10','10.6'
'0TF67ZZ','107','10','10.6'
'0TF68ZZ','107','10','10.6'
'0TF6XZZ','107','10','10.6'
'0TF70ZZ','107','10','10.6'
'0TF73ZZ','107','10','10.6'
'0TF74ZZ','107','10','10.6'
'0TF77ZZ','107','10','10.6'
'0TF78ZZ','107','10','10.6'
'0TF7XZZ','107','10','10.6'
'0TFB0ZZ','107','10','10.6'
'0TFB3ZZ','107','10','10.6'
'0TFB4ZZ','107','10','10.6'
'0TFB7ZZ','107','10','10.6'
'0TFB8ZZ','107','10','10.6'
'0TFBXZZ','107','10','10.6'
'0TFC0ZZ','107','10','10.6'
'0TFC3ZZ','107','10','10.6'
'0TFC4ZZ','107','10','10.6'
'0TFC7ZZ','107','10','10.6'
'0TFC8ZZ','107','10','10.6'
'0TFCXZZ','107','10','10.6'
'0TFD0ZZ','107','10','10.6'
'0TFD3ZZ','107','10','10.6'
'0TFD4ZZ','107','10','10.6'
'0TFD7ZZ','107','10','10.6'
'0TFD8ZZ','107','10','10.6'
'0TFDXZZ','107','10','10.6'
'0WFRXZZ','107','10','10.6'
'0T9B70Z','108','10','10.7'
'0T9B80Z','108','10','10.7'
'0T9C70Z','108','10','10.7'
'0T9C80Z','108','10','10.7'
'0T5D0ZZ','109','10','10.8'
'0T5D3ZZ','109','10','10.8'
'0T5D4ZZ','109','10','10.8'
'0T5D7ZZ','109','10','10.8'
'0T5D8ZZ','109','10','10.8'
'0T5DXZZ','109','10','10.8'
'0T7D0DZ','109','10','10.8'
'0T7D0ZZ','109','10','10.8'
'0T7D3DZ','109','10','10.8'
'0T7D3ZZ','109','10','10.8'
'0T7D4DZ','109','10','10.8'
'0T7D4ZZ','109','10','10.8'
'0T7D7DZ','109','10','10.8'
'0T7D7ZZ','109','10','10.8'
'0T7D8DZ','109','10','10.8'
'0T7D8ZZ','109','10','10.8'
'0T9D00Z','109','10','10.8'
'0T9D0ZZ','109','10','10.8'
'0T9D30Z','109','10','10.8'
'0T9D3ZZ','109','10','10.8'
'0T9D40Z','109','10','10.8'
'0T9D4ZZ','109','10','10.8'
'0T9D70Z','109','10','10.8'
'0T9D7ZZ','109','10','10.8'
'0T9D80Z','109','10','10.8'
'0T9D8ZZ','109','10','10.8'
'0T9DX0Z','109','10','10.8'
'0T9DXZZ','109','10','10.8'
'0TBD0ZZ','109','10','10.8'
'0TBD3ZZ','109','10','10.8'
'0TBD4ZZ','109','10','10.8'
'0TBD7ZZ','109','10','10.8'
'0TBD8ZZ','109','10','10.8'
'0TBDXZZ','109','10','10.8'
'0TCD0ZZ','109','10','10.8'
'0TCD3ZZ','109','10','10.8'
'0TCD4ZZ','109','10','10.8'
'0TCD7ZZ','109','10','10.8'
'0TCD8ZZ','109','10','10.8'
'0TCDXZZ','109','10','10.8'
'0THD03Z','109','10','10.8'
'0THD0LZ','109','10','10.8'
'0THD33Z','109','10','10.8'
'0THD3LZ','109','10','10.8'
'0THD43Z','109','10','10.8'
'0THD4LZ','109','10','10.8'
'0THD73Z','109','10','10.8'
'0THD7LZ','109','10','10.8'
'0THD83Z','109','10','10.8'
'0THD8LZ','109','10','10.8'
'0THDX3Z','109','10','10.8'
'0THDXLZ','109','10','10.8'
'0TLD0CZ','109','10','10.8'
'0TLD0DZ','109','10','10.8'
'0TLD0ZZ','109','10','10.8'
'0TLD3CZ','109','10','10.8'
'0TLD3DZ','109','10','10.8'
'0TLD3ZZ','109','10','10.8'
'0TLD4CZ','109','10','10.8'
'0TLD4DZ','109','10','10.8'
'0TLD4ZZ','109','10','10.8'
'0TLD7DZ','109','10','10.8'
'0TLD7ZZ','109','10','10.8'
'0TLD8DZ','109','10','10.8'
'0TLD8ZZ','109','10','10.8'
'0TLDXCZ','109','10','10.8'
'0TLDXDZ','109','10','10.8'
'0TLDXZZ','109','10','10.8'
'0TMD0ZZ','109','10','10.8'
'0TMD4ZZ','109','10','10.8'
'0TND0ZZ','109','10','10.8'
'0TND3ZZ','109','10','10.8'
'0TND4ZZ','109','10','10.8'
'0TND7ZZ','109','10','10.8'
'0TND8ZZ','109','10','10.8'
'0TNDXZZ','109','10','10.8'
'0TPD00Z','109','10','10.8'
'0TPD02Z','109','10','10.8'
'0TPD03Z','109','10','10.8'
'0TPD07Z','109','10','10.8'
'0TPD0CZ','109','10','10.8'
'0TPD0DZ','109','10','10.8'
'0TPD0JZ','109','10','10.8'
'0TPD0KZ','109','10','10.8'
'0TPD0LZ','109','10','10.8'
'0TPD30Z','109','10','10.8'
'0TPD32Z','109','10','10.8'
'0TPD33Z','109','10','10.8'
'0TPD37Z','109','10','10.8'
'0TPD3CZ','109','10','10.8'
'0TPD3DZ','109','10','10.8'
'0TPD3JZ','109','10','10.8'
'0TPD3KZ','109','10','10.8'
'0TPD3LZ','109','10','10.8'
'0TPD40Z','109','10','10.8'
'0TPD42Z','109','10','10.8'
'0TPD43Z','109','10','10.8'
'0TPD47Z','109','10','10.8'
'0TPD4CZ','109','10','10.8'
'0TPD4DZ','109','10','10.8'
'0TPD4JZ','109','10','10.8'
'0TPD4KZ','109','10','10.8'
'0TPD4LZ','109','10','10.8'
'0TPD70Z','109','10','10.8'
'0TPD72Z','109','10','10.8'
'0TPD73Z','109','10','10.8'
'0TPD77Z','109','10','10.8'
'0TPD7CZ','109','10','10.8'
'0TPD7DZ','109','10','10.8'
'0TPD7JZ','109','10','10.8'
'0TPD7KZ','109','10','10.8'
'0TPD7LZ','109','10','10.8'
'0TPD80Z','109','10','10.8'
'0TPD82Z','109','10','10.8'
'0TPD83Z','109','10','10.8'
'0TPD87Z','109','10','10.8'
'0TPD8CZ','109','10','10.8'
'0TPD8DZ','109','10','10.8'
'0TPD8JZ','109','10','10.8'
'0TPD8KZ','109','10','10.8'
'0TPD8LZ','109','10','10.8'
'0TPDX0Z','109','10','10.8'
'0TPDX2Z','109','10','10.8'
'0TPDX3Z','109','10','10.8'
'0TPDXDZ','109','10','10.8'
'0TPDXLZ','109','10','10.8'
'0TQD0ZZ','109','10','10.8'
'0TQD3ZZ','109','10','10.8'
'0TQD4ZZ','109','10','10.8'
'0TQD7ZZ','109','10','10.8'
'0TQD8ZZ','109','10','10.8'
'0TQDXZZ','109','10','10.8'
'0TRD07Z','109','10','10.8'
'0TRD0JZ','109','10','10.8'
'0TRD0KZ','109','10','10.8'
'0TRD47Z','109','10','10.8'
'0TRD4JZ','109','10','10.8'
'0TRD4KZ','109','10','10.8'
'0TRD77Z','109','10','10.8'
'0TRD7JZ','109','10','10.8'
'0TRD7KZ','109','10','10.8'
'0TRD87Z','109','10','10.8'
'0TRD8JZ','109','10','10.8'
'0TRD8KZ','109','10','10.8'
