code,multi_1,multi_2,multi_3,multi_4
'04109','1','1.1','1.1.4',' '
'0411 ','1','1.1','1.1.4',' '
'04110','1','1.1','1.1.4',' '
'04111','1','1.1','1.1.4',' '
'04112','1','1.1','1.1.4',' '
'04119','1','1.1','1.1.4',' '
'0412 ','1','1.1','1.1.4',' '
'0413 ','1','1.1','1.1.4',' '
'0414 ','1','1.1','1.1.4',' '
'04141','1','1.1','1.1.4',' '
'04142','1','1.1','1.1.4',' '
'04143','1','1.1','1.1.4',' '
'04149','1','1.1','1.1.4',' '
'0415 ','1','1.1','1.1.4',' '
'0416 ','1','1.1','1.1.4',' '
'0417 ','1','1.1','1.1.4',' '
'0418 ','1','1.1','1.1.4',' '
'04181','1','1.1','1.1.4',' '
'04182','1','1.1','1.1.4',' '
'04183','1','1.1','1.1.4',' '
'04184','1','1.1','1.1.4',' '
'04185','1','1.1','1.1.4',' '
'04186','1','1.1','1.1.4',' '
'04189','1','1.1','1.1.4',' '
'0419 ','1','1.1','1.1.4',' '
'390  ','1','1.1','1.1.4',' '
'3929 ','1','1.1','1.1.4',' '
'7953 ','1','1.1','1.1.4',' '
'79531','1','1.1','1.1.4',' '
'79539','1','1.1','1.1.4',' '
'V090 ','1','1.1','1.1.4',' '
'V091 ','1','1.1','1.1.4',' '
'V092 ','1','1.1','1.1.4',' '
'V093 ','1','1.1','1.1.4',' '
'V094 ','1','1.1','1.1.4',' '
'V0950','1','1.1','1.1.4',' '
'V0951','1','1.1','1.1.4',' '
'V096 ','1','1.1','1.1.4',' '
'V0970','1','1.1','1.1.4',' '
'V0971','1','1.1','1.1.4',' '
'V0980','1','1.1','1.1.4',' '
'V0981','1','1.1','1.1.4',' '
'V0990','1','1.1','1.1.4',' '
'V0991','1','1.1','1.1.4',' '
'V1204','1','1.1','1.1.4',' '
'1120 ','1','1.2','1.2.1',' '
'1100 ','1','1.2','1.2.2',' '
'1101 ','1','1.2','1.2.2',' '
'1102 ','1','1.2','1.2.2',' '
'1103 ','1','1.2','1.2.2',' '
'1104 ','1','1.2','1.2.2',' '
'1105 ','1','1.2','1.2.2',' '
'1106 ','1','1.2','1.2.2',' '
'1108 ','1','1.2','1.2.2',' '
'1109 ','1','1.2','1.2.2',' '
'1110 ','1','1.2','1.2.2',' '
'1111 ','1','1.2','1.2.2',' '
'1112 ','1','1.2','1.2.2',' '
